,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
*,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,L0, 146  263  3516A  5442  9042  9347  10589  10664  10915  12720  13276  16230,,,,,,,,,,,,,,,,,,,,,,,Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,L0a'b'f'k, 189  4586  9818  16172,,,,,,,,,,,,,,,,,,,,,,Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,L0a'b'f, 73  185  195  263  2245  5603  11641  15136  15431,,,,,,,,,,,,,,,,,,,,,Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,L0a'b, 93  236  8428  8566  9755  16148,,,,,,,,,,,,,,,,,,,,Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,L0a, 146  5231  5460  11176  14308  16188G  16278  16320  16519,,,,,,,,,,,,,,,,,,,Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,L0a1, 5096  16168,,,,,,,,,,,,,,,,,,Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,L0a1a, 3866,,,,,,,,,,,,,,,,"EU092665, EU092764",Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,, 200,,,,,,,,,,,,,,,"EU092714, EU092883",Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,L0a1a2, 152  2245C,,,,,,,,,,,,,,"AF346985, AY195780",Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,, 16293,,,,,,,,,,,,,,,,,Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,L0a1b, 95C  5911  14007  16278,,,,,,,,,,,,,,,"EU092880, EU092891",Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,L0a1b1, 152  8191,,,,,,,,,,,,,,AF381988,Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,L0a1b1a, 961  12127,,,,,,,,,,,,,"EU092860, EU092871",Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,L0a1b2, 5563  14106,,,,,,,,,,,,,,"EU092965, EU092746",Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,L0a1c, 8188  14569  16129  16287  16519,,,,,,,,,,,,,,,"EU092760, EU092947",Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,L0a1d, 553  12557  16320,,,,,,,,,,,,,,,"EU092809, EU092801",Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,L0a2, 64  185  5147  5711  6257  8281-8289d  8460  11172  16129  16519,,,,,,,,,,,,,,,,,,Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,L0a2a, 11143  14755,,,,,,,,,,,,,,,,,Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,L0a2a1, 14182,,,,,,,,,,,,,,,EU092863,Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,L0a2a1a, 4598,,,,,,,,,,,,,,,Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,L0a2a1a1, 8264  9178,,,,,,,,,,,,,"DQ112686, DQ112688",Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,L0a2a1a2, 7424  15617,,,,,,,,,,,,,"EU092870, EU092913",Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,L0a2a2, 204  207  9545  9554,,,,,,,,,,,,,,,DQ112848,Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,L0a2a2a, 13116,,,,,,,,,,,,,,"EU092701, EU092927","Behar 2008b, Torroni 2006"
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,L0a2b, 152  189  524.1AC  3372  5237  11269  12172  13281  16188A  16242  16390,,,,,,,,,,,,,,,,"AF346998, DQ112904",Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,L0a2ba, 2245,,,,,,,,,,,,,,,"DQ112901, DQ112918",Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,, 95C,,,,,,,,,,,,,,,,,Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,L0a2c, 194  3693  3738  4012  8389  11009  11887  13984  14560  16188A  16214  16234  16320,,,,,,,,,,,,,,,EF556174,"Behar 2008b, 2008a"
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,L0a2d, 146  234  573.1C  5581  5954  9261  9860  15250  15317  16037  16129,,,,,,,,,,,,,,,EU092915,Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,L0a3, 95C  207  318  796  1193  6050  6261  6689A  8659G  10993  12082  13276  14581  15323  15418  15941,,,,,,,,,,,,,,,,,EU092902,Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,L0a4, 152  2887  3010  5060  7830  8545  8870  11380  11809  12780  14001  14142  16168  16192  16234  16259A  16319,,,,,,,,,,,,,,,,,EU092908,Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,L0b, 64  95C  1536  1664  4679  6719  7874  13965  15106  15148  15262  15622  16051  16164  16182C  16183C  16187  16209  16223  16287  16291,,,,,,,,,,,,,,,,,,EU092938,Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,L0f, 207  4964  7148  9581  9620  13145  13470  14109  14620  15852  16169  16327  16354  16368,,,,,,,,,,,,,,,,,,,,Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,L0f1, 146  151  185  482  3644  3699G  5108  5492  5984  7364  7543  8911  10310  10692  10694  11084  11314  12346  14091  14178  14364  15236  16187  16174  16182C  16183C,,,,,,,,,,,,,,,,,,"EU092872, EU092876",Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,L0f2, 4194  11287  13680  13928C,,,,,,,,,,,,,,,,,,,Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,L0f2a, 524.1AC  1719  4562  10790  13145  16354,,,,,,,,,,,,,,,,,"EU092668, EU092966",Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,L0f2b, 152  183  184  783  3027  3531  3592  6152  6176  7419  8020  8748  9725  11974  12855  13317  14683  15884  15927  16129  16218  16291,,,,,,,,,,,,,,,,,EU092786,Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,L0k, 850  1243  4541  4907  5811  7257  8911  8994  9136  10499  10876  10920  11296  11299  11653  13590  13819  13928C  14020  14182  14371  14374  16166C  16214  16291G,,,,,,,,,,,,,,,,,,,,,Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,L0k1, 198  2836A  6938  10939  12070  12720  13020  16129  16209,,,,,,,,,,,,,,,,,,,"EU092855, AF347008",Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,L0k2, 199  204  215  294  524.1AC  3882  4767  6053  8922  9884  11061  13535  15221  16223  16287  16291A,,,,,,,,,,,,,,,,,,,EU092792,Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,L0d, 1438  4232  6815  8113A  8152  8251  12121  15466  15930  15941  16243,,,,,,,,,,,,,,,,,,,,,,Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,L0d1'2, 498d  3756  9755  16278,,,,,,,,,,,,,,,,,,,,,Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,L0d1, 719  2706  3438  6266  13759,,,,,,,,,,,,,,,,,,,,Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,, 524.1AC,,,,,,,,,,,,,,,,,,,Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,L0d1a, 199  1243  9950  12142  12798  16223  16234  16266G,,,,,,,,,,,,,,,,,"EU092833, EU092865",Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,L0d1b, 3618  7283  14315  14659  16239  16294,,,,,,,,,,,,,,,,,"EU092836, EU092842",Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,L0d1c, 456  4197  9150  11437  12235  13129  15951  16129  16234,,,,,,,,,,,,,,,,,,"EU092831, EU092834",Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,L0d1c1, 198  7828  9438  15550  16167  16242,,,,,,,,,,,,,,,,,"EU092861, EU092858",Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,L0d2, 3981  4025  4044  7154  11854  15766,,,,,,,,,,,,,,,,,,,,Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,L0d2a'b, 16212,,,,,,,,,,,,,,,,,,,Behar 2008b
,,,,,,,,,,,,,,,,,,,,,,,,,
